ID,JHI_DATE,CONVERSIONVALUE,SUELDOMIN
,2010-06-23,9.92,1223.89
,2010-06-25,8.05,1223.89
,2010-06-26,8.05,1223.89
,2010-06-27,7.91,1223.89
,2010-06-28,7.91,1223.89
,2010-06-29,7.92,1223.89
,2010-06-30,7.97,1223.89
,2010-07-01,7.97,1223.89
,2010-07-02,7.98,1223.89
,2010-07-04,7.85,1223.89
,2010-07-06,7.84,1223.89
,2010-07-07,8.27,1223.89
,2010-07-08,8.22,1223.89
,2010-07-09,8.17,1223.89
,2010-07-11,8.17,1223.89
,2010-07-12,8.16,1223.89
,2010-07-13,8.13,1223.89
,2010-07-14,8.15,1223.89
,2010-07-15,8.14,1223.89
,2010-07-16,8.17,1223.89
,2010-07-17,8.17,1223.89
,2010-07-18,8.17,1223.89
,2010-07-19,8.14,1223.89
,2010-07-20,8.14,1223.89
,2010-07-21,8.12,1223.89
,2010-07-22,8.21,1223.89
,2010-07-23,8.23,1223.89
,2010-07-24,8.22,1223.89
,2010-07-25,8.49,1223.89
,2010-07-26,8.45,1223.89
,2010-07-27,8.42,1223.89
,2010-07-28,8.39,1223.89
,2010-07-29,8.37,1223.89
,2010-07-30,8.38,1223.89
,2010-07-31,8.38,1223.89
,2010-08-01,8.38,1223.89
,2010-08-02,8.33,1223.89
,2010-08-03,8.34,1223.89
,2010-08-04,8.34,1223.89
,2010-08-05,8.27,1223.89
,2010-08-06,8.27,1223.89
,2010-08-07,8.27,1223.89
,2010-08-08,8.27,1223.89
,2010-08-09,8.27,1223.89
,2010-08-10,8.23,1223.89
,2010-08-11,8.21,1223.89
,2010-08-12,8.24,1223.89
,2010-08-13,8.34,1223.89
,2010-08-14,8.34,1223.89
,2010-08-15,8.26,1223.89
,2010-08-16,8.26,1223.89
,2010-08-17,8.23,1223.89
,2010-08-18,8.21,1223.89
,2010-08-19,7.9,1223.89
,2010-08-20,7.9,1223.89
,2010-08-22,7.91,1223.89
,2010-08-23,7.86,1223.89
,2010-08-24,8.27,1223.89
,2010-08-25,8.27,1223.89
,2010-08-26,8.27,1223.89
,2010-08-29,8.27,1223.89
,2010-08-31,8.31,1223.89
,2010-09-02,8.23,1223.89
,2010-09-03,8.23,1223.89
,2010-09-05,8.22,1223.89
,2010-09-06,8.22,1223.89
,2010-09-07,8.22,1223.89
,2010-09-08,8.2,1223.89
,2010-09-09,8.19,1223.89
,2010-09-10,8.19,1223.89
,2010-09-12,8.19,1223.89
,2010-09-13,8.15,1223.89
,2010-09-14,8.13,1223.89
,2010-09-15,8.21,1223.89
,2010-09-16,8.23,1223.89
,2010-09-19,8.21,1223.89
,2010-09-20,8.18,1223.89
,2010-09-21,8.17,1223.89
,2010-09-22,8.2,1223.89
,2010-09-23,8.2,1223.89
,2010-09-26,8.22,1223.89
,2010-09-27,8.19,1223.89
,2010-09-28,8.2,1223.89
,2010-09-29,8.18,1223.89
,2010-09-30,8.18,1223.89
,2010-10-01,8.18,1223.89
,2010-10-03,8.17,1223.89
,2010-10-04,8.19,1223.89
,2010-10-05,8.19,1223.89
,2010-10-06,8.16,1223.89
,2010-10-07,8.16,1223.89
,2010-10-10,8.12,1223.89
,2010-10-11,8.12,1223.89
,2010-10-12,8.12,1223.89
,2010-10-13,8.15,1223.89
,2010-10-17,7.87,1223.89
,2010-10-18,7.53,1223.89
,2010-10-19,7.57,1223.89
,2010-10-20,7.55,1223.89
,2010-10-21,7.56,1223.89
,2010-10-24,7.92,1223.89
,2010-10-25,7.96,1223.89
,2010-10-26,7.99,1223.89
,2010-10-27,8.02,1223.89
,2010-10-28,7.99,1223.89
,2010-10-31,7.99,1223.89
,2010-11-01,7.99,1223.89
,2010-11-03,7.89,1223.89
,2010-11-04,7.81,1223.89
,2010-11-07,7.84,1223.89
,2010-11-08,7.82,1223.89
,2010-11-09,7.88,1223.89
,2010-11-11,7.81,1223.89
,2010-11-14,8.04,1223.89
,2010-11-15,8.05,1223.89
,2010-11-16,8.05,1223.89
,2010-11-17,8.04,1223.89
,2010-11-18,8.07,1223.89
,2010-11-21,8.18,1223.89
,2010-11-22,8.49,1223.89
,2010-11-23,8.5,1223.89
,2010-11-24,8.43,1223.89
,2010-11-25,8.48,1223.89
,2010-11-28,8.56,1223.89
,2010-11-29,8.52,1223.89
,2010-11-30,8.63,1223.89
,2010-12-01,8.59,1223.89
,2010-12-02,8.56,1223.89
,2010-12-05,8.46,1223.89
,2010-12-06,8.4,1223.89
,2010-12-07,8.41,1223.89
,2010-12-08,8.37,1223.89
,2010-12-09,8.48,1223.89
,2010-12-12,8.36,1223.89
,2010-12-13,8.46,1223.89
,2010-12-14,8.49,1223.89
,2010-12-15,8.45,1223.89
,2010-12-16,8.48,1223.89
,2010-12-19,8.53,1223.89
,2010-12-20,8.75,1223.89
,2010-12-21,8.78,1223.89
,2010-12-22,8.81,1223.89
,2010-12-23,8.72,1223.89
,2010-12-26,8.84,1223.89
,2010-12-27,8.93,1223.89
,2010-12-28,8.93,1223.89
,2010-12-29,8.93,1223.89
,2010-12-30,9.35,1223.89
,2011-01-02,9.09,1223.89
,2011-01-03,9.08,1223.89
,2011-01-04,8.92,1223.89
,2011-01-05,9.01,1223.89
,2011-01-06,8.99,1223.89
,2011-01-09,8.79,1223.89
,2011-01-10,8.67,1223.89
,2011-01-11,8.76,1223.89
,2011-01-12,8.74,1223.89
,2011-01-13,8.65,1223.89
,2011-01-16,8.66,1223.89
,2011-01-17,8.65,1223.89
